Voornaam,Achternaam,Gebruikersnaam,DisplayName,UserPrincipalName,Department,Title,Description,Wachtwoord,VerzamelOU,GebruikersOU
Phil,Mitchell,mitch011,Phil Mitchell,mitch011@homelab.net,EastEnders,Monteur,Personage uit EastEnders,g42sK&Y@,"TVSeries","EastEnders"
Grant,Mitchell,mitch948,Grant Mitchell,mitch948@homelab.net,EastEnders,Beveiliging,Personage uit EastEnders,O$8!r9dT,"TVSeries","EastEnders"
Peggy,Mitchell,mitch422,Peggy Mitchell,mitch422@homelab.net,EastEnders,Horecaondernemer,Personage uit EastEnders,KMyd&94$,"TVSeries","EastEnders"
Ian,Beale,beale225,Ian Beale,beale225@homelab.net,EastEnders,Restauranthouder,Personage uit EastEnders,0T&i8&Dw,"TVSeries","EastEnders"
Stacey,Slater,slate650,Stacey Slater,slate650@homelab.net,EastEnders,Markthandelaar,Personage uit EastEnders,17yF!C!m,"TVSeries","EastEnders"
Kat,Slater,slate717,Kat Slater,slate717@homelab.net,EastEnders,Markthandelaar,Personage uit EastEnders,J5q$&dC5,"TVSeries","EastEnders"
Alfie,Moon,moon621,Alfie Moon,moon621@homelab.net,EastEnders,Pubhouder,Personage uit EastEnders,ZeSd&50!,"TVSeries","EastEnders"
Max,Branning,brann668,Max Branning,brann668@homelab.net,EastEnders,Autoverkoper,Personage uit EastEnders,5BZ#c2t!,"TVSeries","EastEnders"
Syed,Masood,masoo702,Syed Masood,masoo702@homelab.net,EastEnders,Ondernemer,Personage uit EastEnders,6N@8B$aw,"TVSeries","EastEnders"
Denise,Fox,fox971,Denise Fox,fox971@homelab.net,EastEnders,Schoonheidsspecialiste,Personage uit EastEnders,&R9@d3Fb,"TVSeries","EastEnders"
Sharon,Watts,watts568,Sharon Watts,watts568@homelab.net,EastEnders,Pubhouder,Personage uit EastEnders,8i9E$!Ws,"TVSeries","EastEnders"
Martin,Fowler,fowle610,Martin Fowler,fowle610@homelab.net,EastEnders,Markthandelaar,Personage uit EastEnders,nLg@38K&,"TVSeries","EastEnders"
Dot,Cotton,cotto713,Dot Cotton,cotto713@homelab.net,EastEnders,Reinigster,Personage uit EastEnders,cN$A!6p5,"TVSeries","EastEnders"
Nick,Cotton,cotto600,Nick Cotton,cotto600@homelab.net,EastEnders,Werkloos,Personage uit EastEnders,78HE$e&b,"TVSeries","EastEnders"
Bianca,Jackson,jacks134,Bianca Jackson,jacks134@homelab.net,EastEnders,Markthandelaar,Personage uit EastEnders,pp2C#@4L,"TVSeries","EastEnders"
Ken,Barlow,barlo201,Ken Barlow,barlo201@homelab.net,CoronationStreet,Journalist,Personage uit Coronation Street,&8!C4wNy,"TVSeries","CoronationStreet"
Deirdre,Barlow,barlo419,Deirdre Barlow,barlo419@homelab.net,CoronationStreet,Administratief medewerker,Personage uit Coronation Street,O$p95$sP,"TVSeries","CoronationStreet"
Gail,Platt,platt395,Gail Platt,platt395@homelab.net,CoronationStreet,Serveerster,Personage uit Coronation Street,Q9!&uE8f,"TVSeries","CoronationStreet"
Nick,Platt,platt029,Nick Platt,platt029@homelab.net,CoronationStreet,Restauranthouder,Personage uit Coronation Street,f2$W@s5C,"TVSeries","CoronationStreet"
Sarah,Platt,platt413,Sarah Platt,platt413@homelab.net,CoronationStreet,Kapster,Personage uit Coronation Street,F0R&hu9$,"TVSeries","CoronationStreet"
Audrey,Roberts,rober917,Audrey Roberts,rober917@homelab.net,CoronationStreet,Kapster,Personage uit Coronation Street,@jJ44Ph$,"TVSeries","CoronationStreet"
Jack,Duckworth,duckw026,Jack Duckworth,duckw026@homelab.net,CoronationStreet,Fabrieksarbeider,Personage uit Coronation Street,@avO$0Z1,"TVSeries","CoronationStreet"
Vera,Duckworth,duckw310,Vera Duckworth,duckw310@homelab.net,CoronationStreet,Fabrieksarbeider,Personage uit Coronation Street,2$Vwl8Z#,"TVSeries","CoronationStreet"
Bet,Lynch,lynch288,Bet Lynch,lynch288@homelab.net,CoronationStreet,Pubhouder,Personage uit Coronation Street,$vYLg89@,"TVSeries","CoronationStreet"
Mike,Baldwin,baldw835,Mike Baldwin,baldw835@homelab.net,CoronationStreet,Fabrikant,Personage uit Coronation Street,C$xcR$22,"TVSeries","CoronationStreet"
Liz,McDonald,mcdon305,Liz McDonald,mcdon305@homelab.net,CoronationStreet,Barpersoneel,Personage uit Coronation Street,7O$w#T6j,"TVSeries","CoronationStreet"
Steve,McDonald,mcdon267,Steve McDonald,mcdon267@homelab.net,CoronationStreet,Taxichauffeur,Personage uit Coronation Street,o3J3#Wb@,"TVSeries","CoronationStreet"
Tracy,Barlow,barlo225,Tracy Barlow,barlo225@homelab.net,CoronationStreet,Winkelierster,Personage uit Coronation Street,S17qPv$@,"TVSeries","CoronationStreet"
Leanne,Battersby,batte537,Leanne Battersby,batte537@homelab.net,CoronationStreet,Restauranthoudster,Personage uit Coronation Street,RfzD!1$9,"TVSeries","CoronationStreet"
Roy,Cropper,cropp592,Roy Cropper,cropp592@homelab.net,CoronationStreet,Cafetariahouder,Personage uit Coronation Street,C56uwQ!$,"TVSeries","CoronationStreet"
Hayley,Cropper,cropp723,Hayley Cropper,cropp723@homelab.net,CoronationStreet,Naaister,Personage uit Coronation Street,n6Q#Pl3&,"TVSeries","CoronationStreet"
Tyrone,Dobbs,dobbs671,Tyrone Dobbs,dobbs671@homelab.net,CoronationStreet,Monteur,Personage uit Coronation Street,X22Xu#!u,"TVSeries","CoronationStreet"
Fiz,Stape,stape466,Fiz Stape,stape466@homelab.net,CoronationStreet,Fabrieksarbeider,Personage uit Coronation Street,K@an!9D0,"TVSeries","CoronationStreet"
David,Platt,platt697,David Platt,platt697@homelab.net,CoronationStreet,Kapper,Personage uit Coronation Street,6&xVW&8m,"TVSeries","CoronationStreet"
Brooke,Logan,logan817,Brooke Logan,logan817@homelab.net,BoldBeautiful,Modeontwerpster,Personage uit Bold and the Beautiful,Px!w!83U,"TVSeries","BoldBeautiful"
Ridge,Forrester,forre569,Ridge Forrester,forre569@homelab.net,BoldBeautiful,Modeontwerper,Personage uit Bold and the Beautiful,j$$16EOp,"TVSeries","BoldBeautiful"
Eric,Forrester,forre865,Eric Forrester,forre865@homelab.net,BoldBeautiful,Modedirecteur,Personage uit Bold and the Beautiful,Gq!38o&M,"TVSeries","BoldBeautiful"
Stephanie,Forrester,forre666,Stephanie Forrester,forre666@homelab.net,BoldBeautiful,Huismoeder,Personage uit Bold and the Beautiful,j1Nw$$Z7,"TVSeries","BoldBeautiful"
Taylor,Hayes,hayes141,Taylor Hayes,hayes141@homelab.net,BoldBeautiful,Psychiater,Personage uit Bold and the Beautiful,k$SL1$8p,"TVSeries","BoldBeautiful"
Thomas,Forrester,forre832,Thomas Forrester,forre832@homelab.net,BoldBeautiful,Modeontwerper,Personage uit Bold and the Beautiful,4uP1!H@e,"TVSeries","BoldBeautiful"
Steffy,Forrester,forre742,Steffy Forrester,forre742@homelab.net,BoldBeautiful,Modemanager,Personage uit Bold and the Beautiful,0fY1#l!F,"TVSeries","BoldBeautiful"
Hope,Logan,logan749,Hope Logan,logan749@homelab.net,BoldBeautiful,Modeontwerpster,Personage uit Bold and the Beautiful,!C4ow!O4,"TVSeries","BoldBeautiful"
Liam,Spencer,spenc665,Liam Spencer,spenc665@homelab.net,BoldBeautiful,Mediatycoon,Personage uit Bold and the Beautiful,v$!H4Pu3,"TVSeries","BoldBeautiful"
Bill,Spencer,spenc112,Bill Spencer,spenc112@homelab.net,BoldBeautiful,Uitgeefbaas,Personage uit Bold and the Beautiful,$Aq!5x3D,"TVSeries","BoldBeautiful"
Katie,Logan,logan045,Katie Logan,logan045@homelab.net,BoldBeautiful,PR-manager,Personage uit Bold and the Beautiful,n&$E4C4c,"TVSeries","BoldBeautiful"
Donna,Logan,logan233,Donna Logan,logan233@homelab.net,BoldBeautiful,Receptionist,Personage uit Bold and the Beautiful,2K7plJ!&,"TVSeries","BoldBeautiful"
Nick,Marone,maron634,Nick Marone,maron634@homelab.net,BoldBeautiful,Scheepsvaarder,Personage uit Bold and the Beautiful,d&#eX0I4,"TVSeries","BoldBeautiful"
Amber,Moore,moore547,Amber Moore,moore547@homelab.net,BoldBeautiful,Modeassistente,Personage uit Bold and the Beautiful,&M$3v7Fi,"TVSeries","BoldBeautiful"
Rick,Forrester,forre594,Rick Forrester,forre594@homelab.net,BoldBeautiful,Modedirecteur,Personage uit Bold and the Beautiful,L@I79l&a,"TVSeries","BoldBeautiful"
Marlena,Evans,evans440,Marlena Evans,evans440@homelab.net,DaysOfOurLives,Psychiater,Personage uit Days of Our Lives,q4@$HV0q,"TVSeries","DaysOfOurLives"
John,Black,black176,John Black,black176@homelab.net,DaysOfOurLives,Veiligheidsagent,Personage uit Days of Our Lives,q#Bq@F91,"TVSeries","DaysOfOurLives"
Bo,Brady,brady135,Bo Brady,brady135@homelab.net,DaysOfOurLives,Politieagent,Personage uit Days of Our Lives,jEV&f$52,"TVSeries","DaysOfOurLives"
Hope,Brady,brady035,Hope Brady,brady035@homelab.net,DaysOfOurLives,Politieagente,Personage uit Days of Our Lives,2Njy@D#3,"TVSeries","DaysOfOurLives"
Victor,Kiriakis,kiria635,Victor Kiriakis,kiria635@homelab.net,DaysOfOurLives,Zakenman,Personage uit Days of Our Lives,$1rHlN!0,"TVSeries","DaysOfOurLives"
Nicole,Walker,walke831,Nicole Walker,walke831@homelab.net,DaysOfOurLives,Televisieproducente,Personage uit Days of Our Lives,cM&z!S31,"TVSeries","DaysOfOurLives"
Brady,Black,black707,Brady Black,black707@homelab.net,DaysOfOurLives,Televisiepresentator,Personage uit Days of Our Lives,$sH18St&,"TVSeries","DaysOfOurLives"
Sami,Brady,brady207,Sami Brady,brady207@homelab.net,DaysOfOurLives,Ondernemer,Personage uit Days of Our Lives,x&bNC&16,"TVSeries","DaysOfOurLives"
Lucas,Horton,horto741,Lucas Horton,horto741@homelab.net,DaysOfOurLives,Zakenman,Personage uit Days of Our Lives,zW!!mG16,"TVSeries","DaysOfOurLives"
EJ,DiMera,dimer067,EJ DiMera,dimer067@homelab.net,DaysOfOurLives,Advocaat,Personage uit Days of Our Lives,$7ikIS!7,"TVSeries","DaysOfOurLives"
Stefano,DiMera,dimer588,Stefano DiMera,dimer588@homelab.net,DaysOfOurLives,Crimineel zakenman,Personage uit Days of Our Lives,x&k$6WC3,"TVSeries","DaysOfOurLives"
Jennifer,Deveraux,dever836,Jennifer Deveraux,dever836@homelab.net,DaysOfOurLives,Journaliste,Personage uit Days of Our Lives,@@5sWLu5,"TVSeries","DaysOfOurLives"
Jack,Deveraux,dever776,Jack Deveraux,dever776@homelab.net,DaysOfOurLives,Journalist,Personage uit Days of Our Lives,#BYu8$e2,"TVSeries","DaysOfOurLives"
Abe,Carver,carve551,Abe Carver,carve551@homelab.net,DaysOfOurLives,Commissaris,Personage uit Days of Our Lives,#94sf@FR,"TVSeries","DaysOfOurLives"
Lexie,Carver,carve185,Lexie Carver,carve185@homelab.net,DaysOfOurLives,Arts,Personage uit Days of Our Lives,k#MV5i6@,"TVSeries","DaysOfOurLives"
Harold,Bishop,bisho496,Harold Bishop,bisho496@homelab.net,Neighbours,Ondernemer,Personage uit Neighbours,!v&aX53P,"TVSeries","Neighbours"
Madge,Bishop,bisho419,Madge Bishop,bisho419@homelab.net,Neighbours,Cafehouder,Personage uit Neighbours,X&xR5&v3,"TVSeries","Neighbours"
Toadie,Rebecchi,rebec417,Toadie Rebecchi,rebec417@homelab.net,Neighbours,Advocaat,Personage uit Neighbours,cz66@O#P,"TVSeries","Neighbours"
Karl,Kennedy,kenne848,Karl Kennedy,kenne848@homelab.net,Neighbours,Huisarts,Personage uit Neighbours,Rt3i1#&W,"TVSeries","Neighbours"
Susan,Kennedy,kenne198,Susan Kennedy,kenne198@homelab.net,Neighbours,Lerares,Personage uit Neighbours,3@$8CaCn,"TVSeries","Neighbours"
Scott,Robinson,robin380,Scott Robinson,robin380@homelab.net,Neighbours,Journalist,Personage uit Neighbours,t0$$ASk6,"TVSeries","Neighbours"
Charlene,Mitchell,mitch247,Charlene Mitchell,mitch247@homelab.net,Neighbours,Monteur,Personage uit Neighbours,a6z!0@ER,"TVSeries","Neighbours"
Jim,Robinson,robin477,Jim Robinson,robin477@homelab.net,Neighbours,Ingenieur,Personage uit Neighbours,0p&1Df&X,"TVSeries","Neighbours"
Paul,Robinson,robin316,Paul Robinson,robin316@homelab.net,Neighbours,Hoteldirecteur,Personage uit Neighbours,5Bh&9#Xo,"TVSeries","Neighbours"
Steph,Scully,scull741,Steph Scully,scull741@homelab.net,Neighbours,Monteur,Personage uit Neighbours,Nf9Es2&&,"TVSeries","Neighbours"
Libby,Kennedy,kenne485,Libby Kennedy,kenne485@homelab.net,Neighbours,Journaliste,Personage uit Neighbours,y$#H87Ko,"TVSeries","Neighbours"
Drew,Kirk,kirk925,Drew Kirk,kirk925@homelab.net,Neighbours,Monteur,Personage uit Neighbours,h$3LFo$7,"TVSeries","Neighbours"
Dee,Bliss,bliss543,Dee Bliss,bliss543@homelab.net,Neighbours,Verpleegkundige,Personage uit Neighbours,8A$5@Lpp,"TVSeries","Neighbours"
