Voornaam,Achternaam,Gebruikersnaam,DisplayName,UserPrincipalName,Department,Title,Description,Wachtwoord,VerzamelOU,GebruikersOU
Phil,Mitchell,mitch011,Phil Mitchell,mitch011@homelab.net,EastEnders,Monteur,Personage uit EastEnders,g42sK&Y@,"OU=TVSeries,OU=EastEnders,DC=homelab,DC=net"
Grant,Mitchell,mitch948,Grant Mitchell,mitch948@homelab.net,EastEnders,Beveiliging,Personage uit EastEnders,O$8!r9dT,"OU=TVSeries,OU=EastEnders,DC=homelab,DC=net"
Peggy,Mitchell,mitch422,Peggy Mitchell,mitch422@homelab.net,EastEnders,Horecaondernemer,Personage uit EastEnders,KMyd&94$,"OU=TVSeries,OU=EastEnders,DC=homelab,DC=net"
Ian,Beale,beale225,Ian Beale,beale225@homelab.net,EastEnders,Restauranthouder,Personage uit EastEnders,0T&i8&Dw,"OU=TVSeries,OU=EastEnders,DC=homelab,DC=net"
Stacey,Slater,slate650,Stacey Slater,slate650@homelab.net,EastEnders,Markthandelaar,Personage uit EastEnders,17yF!C!m,"OU=TVSeries,OU=EastEnders,DC=homelab,DC=net"
Kat,Slater,slate717,Kat Slater,slate717@homelab.net,EastEnders,Markthandelaar,Personage uit EastEnders,J5q$&dC5,"OU=TVSeries,OU=EastEnders,DC=homelab,DC=net"
Alfie,Moon,moon621,Alfie Moon,moon621@homelab.net,EastEnders,Pubhouder,Personage uit EastEnders,ZeSd&50!,"OU=TVSeries,OU=EastEnders,DC=homelab,DC=net"
Max,Branning,brann668,Max Branning,brann668@homelab.net,EastEnders,Autoverkoper,Personage uit EastEnders,5BZ#c2t!,"OU=TVSeries,OU=EastEnders,DC=homelab,DC=net"
Syed,Masood,masoo702,Syed Masood,masoo702@homelab.net,EastEnders,Ondernemer,Personage uit EastEnders,6N@8B$aw,"OU=TVSeries,OU=EastEnders,DC=homelab,DC=net"
Denise,Fox,fox971,Denise Fox,fox971@homelab.net,EastEnders,Schoonheidsspecialiste,Personage uit EastEnders,&R9@d3Fb,"OU=TVSeries,OU=EastEnders,DC=homelab,DC=net"
Sharon,Watts,watts568,Sharon Watts,watts568@homelab.net,EastEnders,Pubhouder,Personage uit EastEnders,8i9E$!Ws,"OU=TVSeries,OU=EastEnders,DC=homelab,DC=net"
Martin,Fowler,fowle610,Martin Fowler,fowle610@homelab.net,EastEnders,Markthandelaar,Personage uit EastEnders,nLg@38K&,"OU=TVSeries,OU=EastEnders,DC=homelab,DC=net"
Dot,Cotton,cotto713,Dot Cotton,cotto713@homelab.net,EastEnders,Reinigster,Personage uit EastEnders,cN$A!6p5,"OU=TVSeries,OU=EastEnders,DC=homelab,DC=net"
Nick,Cotton,cotto600,Nick Cotton,cotto600@homelab.net,EastEnders,Werkloos,Personage uit EastEnders,78HE$e&b,"OU=TVSeries,OU=EastEnders,DC=homelab,DC=net"
Bianca,Jackson,jacks134,Bianca Jackson,jacks134@homelab.net,EastEnders,Markthandelaar,Personage uit EastEnders,pp2C#@4L,"OU=TVSeries,OU=EastEnders,DC=homelab,DC=net"
Ken,Barlow,barlo201,Ken Barlow,barlo201@homelab.net,CoronationStreet,Journalist,Personage uit Coronation Street,&8!C4wNy,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Deirdre,Barlow,barlo419,Deirdre Barlow,barlo419@homelab.net,CoronationStreet,Administratief medewerker,Personage uit Coronation Street,O$p95$sP,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Gail,Platt,platt395,Gail Platt,platt395@homelab.net,CoronationStreet,Serveerster,Personage uit Coronation Street,Q9!&uE8f,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Nick,Platt,platt029,Nick Platt,platt029@homelab.net,CoronationStreet,Restauranthouder,Personage uit Coronation Street,f2$W@s5C,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Sarah,Platt,platt413,Sarah Platt,platt413@homelab.net,CoronationStreet,Kapster,Personage uit Coronation Street,F0R&hu9$,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Audrey,Roberts,rober917,Audrey Roberts,rober917@homelab.net,CoronationStreet,Kapster,Personage uit Coronation Street,@jJ44Ph$,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Jack,Duckworth,duckw026,Jack Duckworth,duckw026@homelab.net,CoronationStreet,Fabrieksarbeider,Personage uit Coronation Street,@avO$0Z1,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Vera,Duckworth,duckw310,Vera Duckworth,duckw310@homelab.net,CoronationStreet,Fabrieksarbeider,Personage uit Coronation Street,2$Vwl8Z#,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Bet,Lynch,lynch288,Bet Lynch,lynch288@homelab.net,CoronationStreet,Pubhouder,Personage uit Coronation Street,$vYLg89@,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Mike,Baldwin,baldw835,Mike Baldwin,baldw835@homelab.net,CoronationStreet,Fabrikant,Personage uit Coronation Street,C$xcR$22,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Liz,McDonald,mcdon305,Liz McDonald,mcdon305@homelab.net,CoronationStreet,Barpersoneel,Personage uit Coronation Street,7O$w#T6j,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Steve,McDonald,mcdon267,Steve McDonald,mcdon267@homelab.net,CoronationStreet,Taxichauffeur,Personage uit Coronation Street,o3J3#Wb@,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Tracy,Barlow,barlo225,Tracy Barlow,barlo225@homelab.net,CoronationStreet,Winkelierster,Personage uit Coronation Street,S17qPv$@,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Leanne,Battersby,batte537,Leanne Battersby,batte537@homelab.net,CoronationStreet,Restauranthoudster,Personage uit Coronation Street,RfzD!1$9,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Roy,Cropper,cropp592,Roy Cropper,cropp592@homelab.net,CoronationStreet,Cafetariahouder,Personage uit Coronation Street,C56uwQ!$,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Hayley,Cropper,cropp723,Hayley Cropper,cropp723@homelab.net,CoronationStreet,Naaister,Personage uit Coronation Street,n6Q#Pl3&,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Tyrone,Dobbs,dobbs671,Tyrone Dobbs,dobbs671@homelab.net,CoronationStreet,Monteur,Personage uit Coronation Street,X22Xu#!u,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Fiz,Stape,stape466,Fiz Stape,stape466@homelab.net,CoronationStreet,Fabrieksarbeider,Personage uit Coronation Street,K@an!9D0,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
David,Platt,platt697,David Platt,platt697@homelab.net,CoronationStreet,Kapper,Personage uit Coronation Street,6&xVW&8m,"OU=TVSeries,OU=CoronationStreet,DC=homelab,DC=net"
Brooke,Logan,logan817,Brooke Logan,logan817@homelab.net,BoldBeautiful,Modeontwerpster,Personage uit Bold and the Beautiful,Px!w!83U,"OU=TVSeries,OU=BoldBeautiful,DC=homelab,DC=net"
Ridge,Forrester,forre569,Ridge Forrester,forre569@homelab.net,BoldBeautiful,Modeontwerper,Personage uit Bold and the Beautiful,j$$16EOp,"OU=TVSeries,OU=BoldBeautiful,DC=homelab,DC=net"
Eric,Forrester,forre865,Eric Forrester,forre865@homelab.net,BoldBeautiful,Modedirecteur,Personage uit Bold and the Beautiful,Gq!38o&M,"OU=TVSeries,OU=BoldBeautiful,DC=homelab,DC=net"
Stephanie,Forrester,forre666,Stephanie Forrester,forre666@homelab.net,BoldBeautiful,Huismoeder,Personage uit Bold and the Beautiful,j1Nw$$Z7,"OU=TVSeries,OU=BoldBeautiful,DC=homelab,DC=net"
Taylor,Hayes,hayes141,Taylor Hayes,hayes141@homelab.net,BoldBeautiful,Psychiater,Personage uit Bold and the Beautiful,k$SL1$8p,"OU=TVSeries,OU=BoldBeautiful,DC=homelab,DC=net"
Thomas,Forrester,forre832,Thomas Forrester,forre832@homelab.net,BoldBeautiful,Modeontwerper,Personage uit Bold and the Beautiful,4uP1!H@e,"OU=TVSeries,OU=BoldBeautiful,DC=homelab,DC=net"
Steffy,Forrester,forre742,Steffy Forrester,forre742@homelab.net,BoldBeautiful,Modemanager,Personage uit Bold and the Beautiful,0fY1#l!F,"OU=TVSeries,OU=BoldBeautiful,DC=homelab,DC=net"
Hope,Logan,logan749,Hope Logan,logan749@homelab.net,BoldBeautiful,Modeontwerpster,Personage uit Bold and the Beautiful,!C4ow!O4,"OU=TVSeries,OU=BoldBeautiful,DC=homelab,DC=net"
Liam,Spencer,spenc665,Liam Spencer,spenc665@homelab.net,BoldBeautiful,Mediatycoon,Personage uit Bold and the Beautiful,v$!H4Pu3,"OU=TVSeries,OU=BoldBeautiful,DC=homelab,DC=net"
Bill,Spencer,spenc112,Bill Spencer,spenc112@homelab.net,BoldBeautiful,Uitgeefbaas,Personage uit Bold and the Beautiful,$Aq!5x3D,"OU=TVSeries,OU=BoldBeautiful,DC=homelab,DC=net"
Katie,Logan,logan045,Katie Logan,logan045@homelab.net,BoldBeautiful,PR-manager,Personage uit Bold and the Beautiful,n&$E4C4c,"OU=TVSeries,OU=BoldBeautiful,DC=homelab,DC=net"
Donna,Logan,logan233,Donna Logan,logan233@homelab.net,BoldBeautiful,Receptionist,Personage uit Bold and the Beautiful,2K7plJ!&,"OU=TVSeries,OU=BoldBeautiful,DC=homelab,DC=net"
Nick,Marone,maron634,Nick Marone,maron634@homelab.net,BoldBeautiful,Scheepsvaarder,Personage uit Bold and the Beautiful,d&#eX0I4,"OU=TVSeries,OU=BoldBeautiful,DC=homelab,DC=net"
Amber,Moore,moore547,Amber Moore,moore547@homelab.net,BoldBeautiful,Modeassistente,Personage uit Bold and the Beautiful,&M$3v7Fi,"OU=TVSeries,OU=BoldBeautiful,DC=homelab,DC=net"
Rick,Forrester,forre594,Rick Forrester,forre594@homelab.net,BoldBeautiful,Modedirecteur,Personage uit Bold and the Beautiful,L@I79l&a,"OU=TVSeries,OU=BoldBeautiful,DC=homelab,DC=net"
Marlena,Evans,evans440,Marlena Evans,evans440@homelab.net,DaysOfOurLives,Psychiater,Personage uit Days of Our Lives,q4@$HV0q,"OU=TVSeries,OU=DaysOfOurLives,DC=homelab,DC=net"
John,Black,black176,John Black,black176@homelab.net,DaysOfOurLives,Veiligheidsagent,Personage uit Days of Our Lives,q#Bq@F91,"OU=TVSeries,OU=DaysOfOurLives,DC=homelab,DC=net"
