FirstName,LastName,SamAccountName,DisplayName,UserPrincipalName,Department,Title,Description,Password
Phil,Mitchell,mitch011,Phil Mitchell,mitch011@bedrijf.nl,EastEnders,Monteur,Personage uit EastEnders,g42sK&Y@
Grant,Mitchell,mitch948,Grant Mitchell,mitch948@bedrijf.nl,EastEnders,Beveiliging,Personage uit EastEnders,O$8!r9dT
Peggy,Mitchell,mitch422,Peggy Mitchell,mitch422@bedrijf.nl,EastEnders,Horecaondernemer,Personage uit EastEnders,KMyd&94$
Ian,Beale,beale225,Ian Beale,beale225@bedrijf.nl,EastEnders,Restauranthouder,Personage uit EastEnders,0T&i8&Dw
Stacey,Slater,slate650,Stacey Slater,slate650@bedrijf.nl,EastEnders,Markthandelaar,Personage uit EastEnders,17yF!C!m
Kat,Slater,slate717,Kat Slater,slate717@bedrijf.nl,EastEnders,Markthandelaar,Personage uit EastEnders,J5q$&dC5
Alfie,Moon,moon621,Alfie Moon,moon621@bedrijf.nl,EastEnders,Pubhouder,Personage uit EastEnders,ZeSd&50!
Max,Branning,brann668,Max Branning,brann668@bedrijf.nl,EastEnders,Autoverkoper,Personage uit EastEnders,5BZ#c2t!
Syed,Masood,masoo702,Syed Masood,masoo702@bedrijf.nl,EastEnders,Ondernemer,Personage uit EastEnders,6N@8B$aw
Denise,Fox,fox971,Denise Fox,fox971@bedrijf.nl,EastEnders,Schoonheidsspecialiste,Personage uit EastEnders,&R9@d3Fb
Sharon,Watts,watts568,Sharon Watts,watts568@bedrijf.nl,EastEnders,Pubhouder,Personage uit EastEnders,8i9E$!Ws
Martin,Fowler,fowle610,Martin Fowler,fowle610@bedrijf.nl,EastEnders,Markthandelaar,Personage uit EastEnders,nLg@38K&
Dot,Cotton,cotto713,Dot Cotton,cotto713@bedrijf.nl,EastEnders,Reinigster,Personage uit EastEnders,cN$A!6p5
Nick,Cotton,cotto600,Nick Cotton,cotto600@bedrijf.nl,EastEnders,Werkloos,Personage uit EastEnders,78HE$e&b
Bianca,Jackson,jacks134,Bianca Jackson,jacks134@bedrijf.nl,EastEnders,Markthandelaar,Personage uit EastEnders,pp2C#@4L
Ken,Barlow,barlo201,Ken Barlow,barlo201@bedrijf.nl,CoronationStreet,Journalist,Personage uit Coronation Street,&8!C4wNy
Deirdre,Barlow,barlo419,Deirdre Barlow,barlo419@bedrijf.nl,CoronationStreet,Administratief medewerker,Personage uit Coronation Street,O$p95$sP
Gail,Platt,platt395,Gail Platt,platt395@bedrijf.nl,CoronationStreet,Serveerster,Personage uit Coronation Street,Q9!&uE8f
Nick,Platt,platt029,Nick Platt,platt029@bedrijf.nl,CoronationStreet,Restauranthouder,Personage uit Coronation Street,f2$W@s5C
Sarah,Platt,platt413,Sarah Platt,platt413@bedrijf.nl,CoronationStreet,Kapster,Personage uit Coronation Street,F0R&hu9$
Audrey,Roberts,rober917,Audrey Roberts,rober917@bedrijf.nl,CoronationStreet,Kapster,Personage uit Coronation Street,@jJ44Ph$
Jack,Duckworth,duckw026,Jack Duckworth,duckw026@bedrijf.nl,CoronationStreet,Fabrieksarbeider,Personage uit Coronation Street,@avO$0Z1
Vera,Duckworth,duckw310,Vera Duckworth,duckw310@bedrijf.nl,CoronationStreet,Fabrieksarbeider,Personage uit Coronation Street,2$Vwl8Z#
Bet,Lynch,lynch288,Bet Lynch,lynch288@bedrijf.nl,CoronationStreet,Pubhouder,Personage uit Coronation Street,$vYLg89@
Mike,Baldwin,baldw835,Mike Baldwin,baldw835@bedrijf.nl,CoronationStreet,Fabrikant,Personage uit Coronation Street,C$xcR$22
Liz,McDonald,mcdon305,Liz McDonald,mcdon305@bedrijf.nl,CoronationStreet,Barpersoneel,Personage uit Coronation Street,7O$w#T6j
Steve,McDonald,mcdon267,Steve McDonald,mcdon267@bedrijf.nl,CoronationStreet,Taxichauffeur,Personage uit Coronation Street,o3J3#Wb@
Tracy,Barlow,barlo225,Tracy Barlow,barlo225@bedrijf.nl,CoronationStreet,Winkelierster,Personage uit Coronation Street,S17qPv$@
Leanne,Battersby,batte537,Leanne Battersby,batte537@bedrijf.nl,CoronationStreet,Restauranthoudster,Personage uit Coronation Street,RfzD!1$9
Roy,Cropper,cropp592,Roy Cropper,cropp592@bedrijf.nl,CoronationStreet,Cafetariahouder,Personage uit Coronation Street,C56uwQ!$
Hayley,Cropper,cropp723,Hayley Cropper,cropp723@bedrijf.nl,CoronationStreet,Naaister,Personage uit Coronation Street,n6Q#Pl3&
Tyrone,Dobbs,dobbs671,Tyrone Dobbs,dobbs671@bedrijf.nl,CoronationStreet,Monteur,Personage uit Coronation Street,X22Xu#!u
Fiz,Stape,stape466,Fiz Stape,stape466@bedrijf.nl,CoronationStreet,Fabrieksarbeider,Personage uit Coronation Street,K@an!9D0
David,Platt,platt697,David Platt,platt697@bedrijf.nl,CoronationStreet,Kapper,Personage uit Coronation Street,6&xVW&8m
Brooke,Logan,logan817,Brooke Logan,logan817@bedrijf.nl,BoldBeautiful,Modeontwerpster,Personage uit Bold and the Beautiful,Px!w!83U
Ridge,Forrester,forre569,Ridge Forrester,forre569@bedrijf.nl,BoldBeautiful,Modeontwerper,Personage uit Bold and the Beautiful,j$$16EOp
Eric,Forrester,forre865,Eric Forrester,forre865@bedrijf.nl,BoldBeautiful,Modedirecteur,Personage uit Bold and the Beautiful,Gq!38o&M
Stephanie,Forrester,forre666,Stephanie Forrester,forre666@bedrijf.nl,BoldBeautiful,Huismoeder,Personage uit Bold and the Beautiful,j1Nw$$Z7
Taylor,Hayes,hayes141,Taylor Hayes,hayes141@bedrijf.nl,BoldBeautiful,Psychiater,Personage uit Bold and the Beautiful,k$SL1$8p
Thomas,Forrester,forre832,Thomas Forrester,forre832@bedrijf.nl,BoldBeautiful,Modeontwerper,Personage uit Bold and the Beautiful,4uP1!H@e
Steffy,Forrester,forre742,Steffy Forrester,forre742@bedrijf.nl,BoldBeautiful,Modemanager,Personage uit Bold and the Beautiful,0fY1#l!F
Hope,Logan,logan749,Hope Logan,logan749@bedrijf.nl,BoldBeautiful,Modeontwerpster,Personage uit Bold and the Beautiful,!C4ow!O4
Liam,Spencer,spenc665,Liam Spencer,spenc665@bedrijf.nl,BoldBeautiful,Mediatycoon,Personage uit Bold and the Beautiful,v$!H4Pu3
Bill,Spencer,spenc112,Bill Spencer,spenc112@bedrijf.nl,BoldBeautiful,Uitgeefbaas,Personage uit Bold and the Beautiful,$Aq!5x3D
Katie,Logan,logan045,Katie Logan,logan045@bedrijf.nl,BoldBeautiful,PR-manager,Personage uit Bold and the Beautiful,n&$E4C4c
Donna,Logan,logan233,Donna Logan,logan233@bedrijf.nl,BoldBeautiful,Receptionist,Personage uit Bold and the Beautiful,2K7plJ!&
Nick,Marone,maron634,Nick Marone,maron634@bedrijf.nl,BoldBeautiful,Scheepsvaarder,Personage uit Bold and the Beautiful,d&#eX0I4
Amber,Moore,moore547,Amber Moore,moore547@bedrijf.nl,BoldBeautiful,Modeassistente,Personage uit Bold and the Beautiful,&M$3v7Fi
Rick,Forrester,forre594,Rick Forrester,forre594@bedrijf.nl,BoldBeautiful,Modedirecteur,Personage uit Bold and the Beautiful,L@I79l&a
Marlena,Evans,evans440,Marlena Evans,evans440@bedrijf.nl,DaysOfOurLives,Psychiater,Personage uit Days of Our Lives,q4@$HV0q
John,Black,black176,John Black,black176@bedrijf.nl,DaysOfOurLives,Veiligheidsagent,Personage uit Days of Our Lives,q#Bq@F91
Bo,Brady,brady135,Bo Brady,brady135@bedrijf.nl,DaysOfOurLives,Politieagent,Personage uit Days of Our Lives,jEV&f$52
Hope,Brady,brady035,Hope Brady,brady035@bedrijf.nl,DaysOfOurLives,Politieagente,Personage uit Days of Our Lives,2Njy@D#3
Victor,Kiriakis,kiria635,Victor Kiriakis,kiria635@bedrijf.nl,DaysOfOurLives,Zakenman,Personage uit Days of Our Lives,$1rHlN!0
Nicole,Walker,walke831,Nicole Walker,walke831@bedrijf.nl,DaysOfOurLives,Televisieproducente,Personage uit Days of Our Lives,cM&z!S31
Brady,Black,black707,Brady Black,black707@bedrijf.nl,DaysOfOurLives,Televisiepresentator,Personage uit Days of Our Lives,$sH18St&
Sami,Brady,brady207,Sami Brady,brady207@bedrijf.nl,DaysOfOurLives,Ondernemer,Personage uit Days of Our Lives,x&bNC&16
Lucas,Horton,horto741,Lucas Horton,horto741@bedrijf.nl,DaysOfOurLives,Zakenman,Personage uit Days of Our Lives,zW!!mG16
EJ,DiMera,dimer067,EJ DiMera,dimer067@bedrijf.nl,DaysOfOurLives,Advocaat,Personage uit Days of Our Lives,$7ikIS!7
Stefano,DiMera,dimer588,Stefano DiMera,dimer588@bedrijf.nl,DaysOfOurLives,Crimineel zakenman,Personage uit Days of Our Lives,x&k$6WC3
Jennifer,Deveraux,dever836,Jennifer Deveraux,dever836@bedrijf.nl,DaysOfOurLives,Journaliste,Personage uit Days of Our Lives,@@5sWLu5
Jack,Deveraux,dever776,Jack Deveraux,dever776@bedrijf.nl,DaysOfOurLives,Journalist,Personage uit Days of Our Lives,#BYu8$e2
Abe,Carver,carve551,Abe Carver,carve551@bedrijf.nl,DaysOfOurLives,Commissaris,Personage uit Days of Our Lives,#94sf@FR
Lexie,Carver,carve185,Lexie Carver,carve185@bedrijf.nl,DaysOfOurLives,Arts,Personage uit Days of Our Lives,k#MV5i6@
Harold,Bishop,bisho496,Harold Bishop,bisho496@bedrijf.nl,Neighbours,Ondernemer,Personage uit Neighbours,!v&aX53P
Madge,Bishop,bisho419,Madge Bishop,bisho419@bedrijf.nl,Neighbours,Caféhouder,Personage uit Neighbours,X&xR5&v3
Toadie,Rebecchi,rebec417,Toadie Rebecchi,rebec417@bedrijf.nl,Neighbours,Advocaat,Personage uit Neighbours,cz66@O#P
Karl,Kennedy,kenne848,Karl Kennedy,kenne848@bedrijf.nl,Neighbours,Huisarts,Personage uit Neighbours,Rt3i1#&W
Susan,Kennedy,kenne198,Susan Kennedy,kenne198@bedrijf.nl,Neighbours,Lerares,Personage uit Neighbours,3@$8CaCn
Scott,Robinson,robin380,Scott Robinson,robin380@bedrijf.nl,Neighbours,Journalist,Personage uit Neighbours,t0$$ASk6
Charlene,Mitchell,mitch247,Charlene Mitchell,mitch247@bedrijf.nl,Neighbours,Monteur,Personage uit Neighbours,a6z!0@ER
Jim,Robinson,robin477,Jim Robinson,robin477@bedrijf.nl,Neighbours,Ingenieur,Personage uit Neighbours,0p&1Df&X
Paul,Robinson,robin316,Paul Robinson,robin316@bedrijf.nl,Neighbours,Hoteldirecteur,Personage uit Neighbours,5Bh&9#Xo
Steph,Scully,scull741,Steph Scully,scull741@bedrijf.nl,Neighbours,Monteur,Personage uit Neighbours,Nf9Es2&&
Libby,Kennedy,kenne485,Libby Kennedy,kenne485@bedrijf.nl,Neighbours,Journaliste,Personage uit Neighbours,y$#H87Ko
Drew,Kirk,kirk925,Drew Kirk,kirk925@bedrijf.nl,Neighbours,Monteur,Personage uit Neighbours,h$3LFo$7
Dee,Bliss,bliss543,Dee Bliss,bliss543@bedrijf.nl,Neighbours,Verpleegkundige,Personage uit Neighbours,8A$5@Lpp
Dylan,Timmins,timmi262,Dylan Timmins,timmi262@bedrijf.nl,Neighbours,Bouwer,Personage uit Neighbours,6jmU@E3$
Izzy,Hoyland,hoyla638,Izzy Hoyland,hoyla638@bedrijf.nl,Neighbours,Barvrouw,Personage uit Neighbours,!6bA&5Kv
